"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201011;"Bolesławiec (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1909;"-";"";
0201011;"Bolesławiec (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2710;"-";"";
0201011;"Bolesławiec (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";5120;"-";"";
0201011;"Bolesławiec (1)";"wydatki na świadczenia wychowawcze";"2019";24698066;"zł";"";
0201022;"Bolesławiec (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";881;"-";"";
0201022;"Bolesławiec (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1307;"-";"";
0201022;"Bolesławiec (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2027;"-";"";
0201022;"Bolesławiec (2)";"wydatki na świadczenia wychowawcze";"2019";11341459;"zł";"";
0201032;"Gromadka (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";286;"-";"";
0201032;"Gromadka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";463;"-";"";
0201032;"Gromadka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";803;"-";"";
0201032;"Gromadka (2)";"wydatki na świadczenia wychowawcze";"2019";3892700;"zł";"";
0201043;"Nowogrodziec (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";924;"-";"";
0201043;"Nowogrodziec (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1478;"-";"";
0201043;"Nowogrodziec (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2318;"-";"";
0201043;"Nowogrodziec (3)";"wydatki na świadczenia wychowawcze";"2019";12026315;"zł";"";
0201052;"Osiecznica (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";475;"-";"";
0201052;"Osiecznica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";701;"-";"";
0201052;"Osiecznica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1278;"-";"";
0201052;"Osiecznica (2)";"wydatki na świadczenia wychowawcze";"2019";6136747;"zł";"";
0201062;"Warta Bolesławiecka (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";584;"-";"";
0201062;"Warta Bolesławiecka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";892;"-";"";
0201062;"Warta Bolesławiecka (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1435;"-";"";
0201062;"Warta Bolesławiecka (2)";"wydatki na świadczenia wychowawcze";"2019";7181238;"zł";"";
0202011;"Bielawa (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1494;"-";"";
0202011;"Bielawa (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2175;"-";"";
0202011;"Bielawa (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";3538;"-";"";
0202011;"Bielawa (1)";"wydatki na świadczenia wychowawcze";"2019";18421888;"zł";"";
0202021;"Dzierżoniów (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1672;"-";"";
0202021;"Dzierżoniów (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2437;"-";"";
0202021;"Dzierżoniów (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";4101;"-";"";
0202021;"Dzierżoniów (1)";"wydatki na świadczenia wychowawcze";"2019";21098936;"zł";"";
0202033;"Pieszyce (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";528;"-";"";
0202033;"Pieszyce (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";824;"-";"";
0202033;"Pieszyce (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1321;"-";"";
0202033;"Pieszyce (3)";"wydatki na świadczenia wychowawcze";"2019";6551267;"zł";"";
0202041;"Piława Górna (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";359;"-";"";
0202041;"Piława Górna (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";588;"-";"";
0202041;"Piława Górna (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";879;"-";"";
0202041;"Piława Górna (1)";"wydatki na świadczenia wychowawcze";"2019";4483316;"zł";"";
0202052;"Dzierżoniów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";561;"-";"";
0202052;"Dzierżoniów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";837;"-";"";
0202052;"Dzierżoniów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1340;"-";"";
0202052;"Dzierżoniów (2)";"wydatki na świadczenia wychowawcze";"2019";6782840;"zł";"";
0202062;"Łagiewniki (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";424;"-";"";
0202062;"Łagiewniki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";627;"-";"";
0202062;"Łagiewniki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1101;"-";"";
0202062;"Łagiewniki (2)";"wydatki na świadczenia wychowawcze";"2019";5437129;"zł";"";
0202073;"Niemcza (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";281;"-";"";
0202073;"Niemcza (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";433;"-";"";
0202073;"Niemcza (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";648;"-";"";
0202073;"Niemcza (3)";"wydatki na świadczenia wychowawcze";"2019";3385676;"zł";"";
0203011;"Głogów (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";3628;"-";"";
0203011;"Głogów (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";5055;"-";"";
0203011;"Głogów (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";10058;"-";"";
0203011;"Głogów (1)";"wydatki na świadczenia wychowawcze";"2019";47169789;"zł";"";
0203022;"Głogów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";512;"-";"";
0203022;"Głogów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";737;"-";"";
0203022;"Głogów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1273;"-";"";
0203022;"Głogów (2)";"wydatki na świadczenia wychowawcze";"2019";6298918;"zł";"";
0203032;"Jerzmanowa (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";402;"-";"";
0203032;"Jerzmanowa (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";517;"-";"";
0203032;"Jerzmanowa (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1137;"-";"";
0203032;"Jerzmanowa (2)";"wydatki na świadczenia wychowawcze";"2019";5147415;"zł";"";
0203042;"Kotla (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";297;"-";"";
0203042;"Kotla (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";484;"-";"";
0203042;"Kotla (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";781;"-";"";
0203042;"Kotla (2)";"wydatki na świadczenia wychowawcze";"2019";3905117;"zł";"";
0203052;"Pęcław (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";155;"-";"";
0203052;"Pęcław (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";270;"-";"";
0203052;"Pęcław (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";377;"-";"";
0203052;"Pęcław (2)";"wydatki na świadczenia wychowawcze";"2019";1959533;"zł";"";
0203062;"Żukowice (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";233;"-";"";
0203062;"Żukowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";360;"-";"";
0203062;"Żukowice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";591;"-";"";
0203062;"Żukowice (2)";"wydatki na świadczenia wychowawcze";"2019";2959330;"zł";"";
0204013;"Góra (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1311;"-";"";
0204013;"Góra (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2089;"-";"";
0204013;"Góra (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";3150;"-";"";
0204013;"Góra (3)";"wydatki na świadczenia wychowawcze";"2019";15932862;"zł";"";
0204022;"Jemielno (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";219;"-";"";
0204022;"Jemielno (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";363;"-";"";
0204022;"Jemielno (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";487;"-";"";
0204022;"Jemielno (2)";"wydatki na świadczenia wychowawcze";"2019";2635069;"zł";"";
0204032;"Niechlów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";307;"-";"";
0204032;"Niechlów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";507;"-";"";
0204032;"Niechlów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";725;"-";"";
0204032;"Niechlów (2)";"wydatki na świadczenia wychowawcze";"2019";3758083;"zł";"";
0204043;"Wąsosz (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";497;"-";"";
0204043;"Wąsosz (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";809;"-";"";
0204043;"Wąsosz (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1133;"-";"";
0204043;"Wąsosz (3)";"wydatki na świadczenia wychowawcze";"2019";5947774;"zł";"";
0205011;"Jawor (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1122;"-";"";
0205011;"Jawor (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1573;"-";"";
0205011;"Jawor (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2755;"-";"";
0205011;"Jawor (1)";"wydatki na świadczenia wychowawcze";"2019";13786635;"zł";"";
0205023;"Bolków (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";557;"-";"";
0205023;"Bolków (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";926;"-";"";
0205023;"Bolków (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1431;"-";"";
