"Kod";"Nazwa";"ogółem;kobiety;2019;[osoba]";
0200000;"DOLNOŚLĄSKIE";1505528;
0201011;"Bolesławiec (1)";20571;
0201022;"Bolesławiec (2)";7400;
0201032;"Gromadka (2)";2684;
0201043;"Nowogrodziec (3)";7688;
0201044;"Nowogrodziec - miasto (4)";2150;
0201045;"Nowogrodziec - obszar wiejski (5)";5538;
0201052;"Osiecznica (2)";3669;
0201062;"Warta Bolesławiecka (2)";4352;
0202011;"Bielawa (1)";15924;
0202021;"Dzierżoniów (1)";17648;
0202033;"Pieszyce (3)";4843;
0202034;"Pieszyce - miasto (4)";3729;
0202035;"Pieszyce - obszar wiejski (5)";1114;
0202041;"Piława Górna (1)";3327;
0202052;"Dzierżoniów (2)";4551;
0202062;"Łagiewniki (2)";3790;
0202073;"Niemcza (3)";2713;
0202074;"Niemcza - miasto (4)";1479;
0202075;"Niemcza - obszar wiejski (5)";1234;
0203011;"Głogów (1)";34719;
0203022;"Głogów (2)";3430;
0203032;"Jerzmanowa (2)";2559;
0203042;"Kotla (2)";2238;
0203052;"Pęcław (2)";1112;
0203062;"Żukowice (2)";1691;
0204013;"Góra (3)";10069;
0204014;"Góra - miasto (4)";6015;
0204015;"Góra - obszar wiejski (5)";4054;
0204022;"Jemielno (2)";1485;
0204032;"Niechlów (2)";2442;
0204043;"Wąsosz (3)";3596;
0204044;"Wąsosz - miasto (4)";1352;
0204045;"Wąsosz - obszar wiejski (5)";2244;
0205011;"Jawor (1)";11850;
0205023;"Bolków (3)";5283;
0205024;"Bolków - miasto (4)";2586;
0205025;"Bolków - obszar wiejski (5)";2697;
0205032;"Męcinka (2)";2512;
0205042;"Mściwojów (2)";2000;
0205052;"Paszowice (2)";1946;
0205062;"Wądroże Wielkie (2)";1952;
0206011;"Karpacz (1)";2435;
0206021;"Kowary (1)";5652;
0206031;"Piechowice (1)";3226;
0206041;"Szklarska Poręba (1)";3545;
0206052;"Janowice Wielkie (2)";2112;
0206062;"Jeżów Sudecki (2)";3861;
0206072;"Mysłakowice (2)";5173;
0206082;"Podgórzyn (2)";4174;
0206092;"Stara Kamienica (2)";2653;
0207011;"Kamienna Góra (1)";9806;
0207022;"Kamienna Góra (2)";4514;
0207033;"Lubawka (3)";5532;
0207034;"Lubawka - miasto (4)";3141;
0207035;"Lubawka - obszar wiejski (5)";2391;
0207042;"Marciszów (2)";2247;
0208011;"Duszniki-Zdrój (1)";2420;
0208021;"Kłodzko (1)";14181;
0208031;"Kudowa-Zdrój (1)";5149;
0208041;"Nowa Ruda (1)";11437;
