Zmienna;Jednostka miary;Kraj;Makroregion;Region;Miejsce zamieszkania;P³eæ;Wiek;Rok;Wartoœæ
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;0;2018;8936
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;1;2018;9454
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;2;2018;9293
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;3;2018;8799
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;4;2018;9026
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;5;2018;8482
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;6;2018;8929
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;7;2018;8990
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;8;2018;9428
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;9;2018;9777
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;10;2018;9587
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;11;2018;8898
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;12;2018;8272
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;13;2018;7907
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;14;2018;7507
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;15;2018;7121
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;16;2018;7175
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;17;2018;7635
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;18;2018;7767
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;19;2018;7805
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;20;2018;8018
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;21;2018;8574
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;22;2018;8907
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;23;2018;9282
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;24;2018;10193
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;25;2018;10520
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;26;2018;11052
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;27;2018;12704
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;28;2018;13710
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;29;2018;14116
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;30;2018;14695
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;31;2018;15167
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;32;2018;15915
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;33;2018;17028
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;34;2018;17668
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;35;2018;17984
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;36;2018;17181
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;37;2018;16781
Rezydenci;osoba;Polska;PO£UDNIOWO-ZACHODNI;Dolnoœl¹skie;miasta;kobiety;38;2018;16832
